City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,butaritari,3.0707,172.7902,300.64,78,33,4.88,KI,1680477068
85,acarau,-2.8856,-40.12,297.79,88,100,1.85,BR,1680476784
86,vaini,-21.2,-175.2,301.24,69,40,5.14,TO,1680477069
87,tuatapere,-46.1333,167.6833,286.96,55,93,1.87,NZ,1680477069
88,myre,69.1036,15.9492,270.87,59,100,5.6,NO,1680477070
89,pangnirtung,66.1451,-65.7125,256.99,80,100,2.75,CA,1680477070
90,georgetown,5.4112,100.3354,299.11,83,20,0.0,MY,1680477052
91,avera,33.194,-82.5271,296.18,49,82,1.9,US,1680477071
92,avarua,-21.2078,-159.775,300.18,69,75,4.63,CK,1680477072
93,flin flon,54.7682,-101.865,264.22,83,100,4.84,CA,1680477072
94,dom pedrito,-30.9828,-54.6731,290.49,56,73,2.37,BR,1680477073
95,arraial do cabo,-22.9661,-42.0278,297.85,70,52,6.38,BR,1680477074
96,sao jose da coroa grande,-8.8978,-35.1478,299.36,78,100,2.75,BR,1680477074
97,bengkulu,-3.8004,102.2655,296.23,91,99,2.06,ID,1680477074
98,mar del plata,-38.0023,-57.5575,292.16,68,0,1.54,AR,1680476897
99,vangaindrano,-23.35,47.6,294.75,93,44,1.47,MG,1680477075
100,saskylakh,71.9167,114.0833,264.8,96,100,1.69,RU,1680477076
101,cape town,-33.9258,18.4232,293.92,86,75,4.63,ZA,1680476768
102,nome,64.5011,-165.4064,261.19,79,0,2.57,US,1680477077
103,borovskoy,53.8,64.15,273.56,71,0,3.24,KZ,1680477077
104,nachalovo,46.338,48.2013,280.11,93,0,1.0,RU,1680477077
105,barrow,71.2906,-156.7887,259.16,78,100,5.66,US,1680477078
106,manicore,-5.8092,-61.3003,294.51,98,100,0.79,BR,1680477078
107,kathu,7.9178,98.3332,303.54,85,100,5.38,TH,1680477078
108,alingsas,57.9303,12.5335,272.7,92,9,1.63,SE,1680477078
109,jaguaribe,-5.8906,-38.6219,299.02,79,98,2.47,BR,1680477079
110,adrar,20.5022,-10.0711,298.28,5,0,2.87,MR,1680477079
111,roald,62.5833,6.1333,278.89,75,75,3.09,NO,1680477080
112,provideniya,64.3833,-173.3,262.24,57,75,2.0,RU,1680477080
113,lixourion,38.2019,20.4314,287.41,87,99,3.53,GR,1680477080
114,honggang,46.4667,124.8667,284.73,64,100,8.94,CN,1680477081
115,kavieng,-2.5744,150.7967,301.95,74,99,5.44,PG,1680477081
116,ust-tsilma,65.441,52.1498,256.46,100,83,1.1,RU,1680477082
117,adre,13.4667,22.2,297.98,15,32,3.91,TD,1680477082
118,olga,43.7444,135.2892,280.37,64,1,0.79,RU,1680477082
119,southbridge,42.0751,-72.0334,279.09,36,5,0.89,US,1680476829
120,belyy yar,53.6039,91.3903,264.09,67,0,3.0,RU,1680477083
121,luena,-11.7833,19.9167,290.11,99,100,1.39,AO,1680477083
122,antonina,-25.4286,-48.7119,294.97,85,52,0.38,BR,1680477083
123,codrington,-38.2667,141.9667,286.74,72,0,3.0,AU,1680477084
124,qaanaaq,77.484,-69.3632,247.47,64,4,0.72,GL,1680477084
125,nanortalik,60.1432,-45.2371,272.1,92,100,2.88,GL,1680477085
126,nemuro,43.3236,145.575,274.48,69,0,5.72,JP,1680477085
127,tall kayf,37.0833,41.0667,283.31,81,57,0.82,TR,1680477085
128,new norfolk,-42.7826,147.0587,288.66,65,60,0.89,AU,1680477085
129,yar-sale,66.8333,70.8333,261.8,86,34,4.95,RU,1680477086
130,buin,-33.7333,-70.75,299.33,36,73,1.45,CL,1680477008
131,lagoa,39.05,-27.9833,286.82,59,69,9.44,PT,1680477086
132,ambulu,-8.345,113.6058,297.07,91,100,1.31,ID,1680477087
133,san quintin,30.4833,-115.95,289.18,68,0,8.34,MX,1680477087
134,chokurdakh,70.6333,147.9167,251.48,91,72,5.6,RU,1680477088
135,tabuk,17.4189,121.4443,296.12,89,89,1.04,PH,1680477088
136,ailigandi,9.2333,-78.0167,299.24,86,90,5.17,PA,1680477088
137,leninskoye,41.7589,69.3864,285.19,80,96,0.97,KZ,1680477089
138,qaqortoq,60.7167,-46.0333,271.04,87,100,3.09,GL,1680477089
139,palu,-0.8917,119.8707,297.79,89,100,0.66,ID,1680476975
140,aklavik,68.2191,-135.0107,264.02,81,99,3.55,CA,1680477090
